TargetWord,Prime,Unrelated,Length_Related,SubFreq_Related,LogSubFreq_Related,LogHAL_Related,OrthoN_Related,FreqGreater_Related,BGSum_Related,BGMean_Related,POS_Related,ELP_NT_RT_Related,ELP_N_Z_Related,ELP_NT_Acc_Related,Relation1_Related,Relation2_Related,FAS_Related,BAS_Related,CueFanOut_Related,LSA_Related,LSA_Unrelated,NT_200ms_RT_Related,NT_200ms_RT_Unrelated,NT_200ms_Z_Related,NT_200ms_Z_Unrelated,NT_200ms_Acc_Related,NT_200ms_Acc_Unrelated,NT_1200ms_RT_Related,NT_1200ms_RT_Unrelated,NT_1200ms_Z_Related,NT_1200ms_Z_Unrelated,NT_1200ms_Acc_Related,NT_1200ms_Acc,NT_200ms_RT_Priming_Related,NT_200ms_Z_Priming_Related,NT_200ms_Acc_Priming_Related,NT_1200ms_RT_Priming_Related,NT_1200ms_Z_Priming_Related,NT_1200ms_Acc_Priming_Related
abandon,DISOWN,PROVISION,6,0.41,1.34,5.57,0,,6269,1253.8,VB,737.93,-0.14,0.96,synonym,,0.053,,31,0.08,0.25,575.2380952,607.6,0.6270397385,0.6072506782,1,1,534.2692308,581.75,0.03234931724,0.1490419827,1,1,32.36190476,-0.01978906031,0,47.48076923,0.1166926655,0
ability,CAPABILITY,FUEL,10,1.37,1.85,9.49,0,,12455,1383.89,NN,714.32,0.2,0.92,synonym,,0.282,0.119,12,0.22,0.03,581.9655172,676.7727273,0.3995504078,0.4042082596,0.9655172414,1,562.2352941,584.7058824,-0.006856093781,0.2011993615,1,1,94.80721003,0.004657851847,-0.03448275862,22.47058824,0.2080554553,0
abnormal,NORMAL,EGYPT,6,70.37,3.56,11.17,2,0,8880,1776,JJ|RB,577.39,-0.8,1,antonym,,0.34,0.281,15,0.7,-0.02,562,544.6666667,0.07893979321,0.3827744977,1,1,580.4117647,539.5,0.5698958114,0.295357376,1,1,-17.33333333,0.3038347045,0,-40.91176471,-0.2745384354,0
above,BELOW,POSTAGE,5,28.04,3.16,11.41,0,,4747,1186.75,minor|NN,602.57,-0.56,1,antonym,,0.503,0.564,9,0.79,0.04,591.2,556.2647059,0.007425294355,-0.2004624108,1,1,461.44,504.8529412,-0.5759664005,-0.2295866999,1,1,-34.93529412,-0.2078877052,0,43.41294118,0.3463797006,0
abuse,USE,DISGUSTING,3,343.84,4.24,13.43,0,,3497,1748.5,VB,618.35,-0.54,1,fpa,,0.192,0.015,22,0.2,0.02,581.375,610.75,0.2868271685,0.4831299763,0.9583333333,1,497.7142857,610.32,-0.2072779523,0.007344628384,1,1,29.375,0.1963028078,-0.04166666667,112.6057143,0.2146225807,0
accept,REJECT,JOCK,6,4.24,2.34,8.92,1,0,7170,1434,VB,648.7,-0.31,1,antonym,,0.169,0.107,18,0.6,0,558.2058824,531.1071429,0.2185383465,-0.1050908643,1,0.9642857143,536.3333333,506.2692308,0.1325078605,-0.2872295154,1,0.9615384615,-27.0987395,-0.3236292108,0.03571428571,-30.06410256,-0.419737376,0.03846153846
account,CHECKING,NOW,8,32.47,3.22,9.71,0,,16750,2392.86,VB|NN,630.89,-0.44,1,fpa,,0.44,0.035,10,0.42,0.08,550,515.5714286,-0.004641111558,-0.04465092331,0.9696969697,1,499.25,546.1052632,-0.1871491379,0.0772529278,1,1,-34.42857143,-0.04000981175,-0.0303030303,46.85526316,0.2644020657,0
accuse,BLAME,SUM,5,58.78,3.48,9.76,5,1,5885,1471.25,VB|NN,576.12,-0.61,0.96,synonym,,0.185,0.159,22,0.22,0.11,560.8518519,620.4285714,0.1616441947,0.8992958129,1,0.9523809524,549.6923077,516.35,0.1664524029,0.08696140854,1,1,59.57671958,0.7376516182,0.04761904762,-33.34230769,-0.07949099438,0
ache,STOMACH,REFLECTION,7,33.82,3.24,8.95,0,,10809,1801.5,NN|VB,670.96,-0.22,1,fpa,,0.284,0,17,0.19,0.07,503.4444444,568.4642857,-0.3010391774,0.1972346434,0.9722222222,1,569.3255814,506.32,0.1935558975,0.03780269364,1,1,65.01984127,0.4982738207,-0.02777777778,-63.0055814,-0.1557532039,0
achieve,GOAL,GIRL,4,16.75,2.93,10.17,4,0,3845,1281.67,NN,631.32,-0.55,1,script,,0.174,0.22,21,0.65,0.05,618.1388889,558.6944444,0.1874261179,0.01358176872,1,1,494.5714286,514.575,0.03241440726,-0.1155721718,1,1,-59.44444444,-0.1738443491,0,20.00357143,-0.147986579,0
act,PERFORM,FRISK,7,16.1,2.91,10.11,0,,11886,1981,VB,639.42,-0.4,1,synonym,,0.291,0.02,15,0.2,0.04,528.3571429,523.2777778,-0.4143652843,-0.3243016614,0.9642857143,1,472.6,478.3684211,-0.4226110385,-0.4753907195,1,0.9736842105,-5.079365079,0.09006362293,-0.03571428571,5.768421053,-0.05277968102,0.02631578947
action,REACTION,DIP,8,16.27,2.92,9.72,0,,20851,2978.71,NN,608.42,-0.61,1,unclassified,,0.103,0.094,21,0.14,0.12,510.047619,502.6470588,-0.1847268334,-0.3883322507,1,0.9705882353,490.76,521.2820513,-0.3687311727,-0.1122364826,1,0.9743589744,-7.400560224,-0.2036054173,0.02941176471,30.52205128,0.2564946901,0.02564102564
active,HYPER,DISPERSE,5,,,,,,,,,,,,synonym,fpa,0.295,0.02,19,-0.02,0.1,575.6176471,534.2,-0.1359335399,-0.1765562697,0.9705882353,1,501.7222222,527.5151515,-0.2264147731,-0.2175548003,1,1,-41.41764706,-0.04062272972,-0.02941176471,25.79292929,0.008859972726,0
actor,ACTRESS,COAST,7,16.02,2.91,8.52,0,,14893,2482.17,NN,611.85,-0.56,0.96,category,,0.507,0.578,11,0.59,0,528.1875,488.1904762,-0.09143578384,-0.1540102669,1,1,519.1111111,470.55,-0.2309463771,-0.5148980781,1,1,-39.99702381,-0.0625744831,0,-48.56111111,-0.283951701,0
actress,ACTOR,FOUR,5,26.33,3.13,9.26,0,,6723,1680.75,NN,555.71,-0.74,1,category,,0.578,0.507,14,0.59,0.09,528.1538462,550,-0.1507533716,0.04055795519,1,0.9666666667,553.037037,489.3076923,-0.1167808987,-0.2997607761,1,1,21.84615385,0.1913113268,0.03333333333,-63.72934473,-0.1829798773,0
add,SUM,PARADISE,3,10.25,2.72,9.52,10,3,1490,745,NN|VB,642.07,-0.37,1,synonym,,0.284,0.017,11,0.25,0.05,523.0588235,505.5185185,-0.1940195037,-0.3624790149,1,1,631,497.6785714,0.2847024706,-0.3127933738,1,0.9642857143,-17.54030501,-0.1684595112,0,-133.3214286,-0.5974958444,0.03571428571
addition,SUBTRACTION,INSTRUCTIONS,11,0.2,1.04,5.95,0,,20576,2057.6,NN,704.11,-0.03,1,antonym,,0.507,0.621,7,0.26,0.32,541,553.5945946,0.2770662127,0.1878408293,0.85,0.972972973,538.6666667,580.6923077,-0.01274085228,0.3102933898,1,1,12.59459459,-0.08922538336,-0.122972973,42.02564103,0.3230342421,0
adjective,ADVERB,EGO,6,0.2,1.04,5,1,1,9447,1889.4,NN,632.71,-0.39,1,category,,0.274,0.152,12,0.94,-0.02,635.8181818,765.6842105,0.445480993,2.091510536,0.9545454545,0.6842105263,609.7241379,636.1481481,0.4055355561,0.8307068127,0.8965517241,0.7407407407,129.8660287,1.646029543,0.2703349282,26.42401022,0.4251712567,0.1558109834
adolescent,PUBERTY,ADVENTUROUS,7,2.2,2.05,6.92,0,,9498,1583,NN,670.78,-0.19,1,script,,0.138,0.041,24,0.56,0.11,604.1071429,608.5714286,0.5512960332,0.6830477605,1,0.9428571429,565.59375,570.7692308,0.2340230148,0.7222395798,1,0.9743589744,4.464285714,0.1317517273,0.05714285714,5.175480769,0.488216565,0.02564102564
adventure,EXPLORER,WARY,8,1.9,1.99,8.68,2,0,16486,2355.14,NN,670.93,-0.24,0.96,unclassified,,0.196,0,20,0.37,0.23,628.7857143,511.4615385,-0.04906442745,-0.1179941081,1,1,593.8888889,540.6071429,0.2412850099,-0.07751550199,1,1,-117.3241758,-0.06892968067,0,-53.28174603,-0.3188005119,0
advice,SUGGEST,NO,7,39.24,3.3,10.83,0,,10681,1780.17,VB,661.56,-0.18,1,synonym,,0.072,0,23,0.32,0.4,605.3529412,556.2962963,0.1589050146,0.05426665864,1,1,586.1,609.2916667,0.200827696,0.04413124836,1,1,-49.05664488,-0.1046383559,0,23.19166667,-0.1566964477,0
africa,CONTINENT,THREAT,9,3.67,2.27,8.21,0,,30878,3859.75,NN,741.9,0.14,0.78,supraordinate,,0.169,0.234,16,0.63,0.05,515.9393939,508.5263158,-0.01934646544,-0.4998657798,1,1,527.3103448,510.7407407,-0.1012204338,-0.1024583316,1,1,-7.41307815,-0.4805193144,0,-16.56960409,-0.001237897783,0
after,BEFORE,CELCIUS,6,794.14,4.61,12.75,0,,9191,1838.2,minor|RB|NN,665.57,-0.37,1,antonym,,0.859,0.571,4,0.81,,496.6857143,,-0.4538625327,,0.9714285714,,497.1923077,414.5714286,-0.3119272298,-0.4735758242,1,0.9285714286,,,,-82.62087912,-0.1616485944,0.07142857143
again,REPEAT,OVERWHELM,6,33.02,3.23,10,3,0,12875,2575,VB|NN,602.83,-0.56,1,synonym,,0.289,0.336,18,0.33,0.22,555.25,574.4,-0.1548391151,0.04647037375,1,0.95,527.7142857,559.5384615,-0.1459934159,-0.1720236505,1,0.9615384615,19.15,0.2013094888,0.05,31.82417582,-0.02603023463,0.03846153846
against,FOR,BLOCK,3,6895.1,5.55,15.42,7,0,3344,1672,minor,588.9,-0.58,1,antonym,,0.27,0.312,13,0.49,0.22,625.4285714,499.71875,-0.01394322265,-0.3702323668,1,0.96875,506.5,621.72,-0.0312274069,0.3350186305,1,1,-125.7098214,-0.3562891441,0.03125,115.22,0.3662460374,0
age,YEARS,RIP,5,568.69,4.46,12.76,10,0,6431,1607.75,NN,608.43,-0.38,1,category,,0.19,0,12,0.53,0.09,525.3333333,506.6190476,-0.383773911,-0.2441648967,1,1,463.8421053,473.3333333,-0.218512844,-0.3809164835,1,1,-18.71428571,0.1396090144,0,9.49122807,-0.1624036396,0
agreement,CONTRACT,PRO,8,32.35,3.22,10.76,1,0,17498,2499.71,NN,652.56,-0.26,1,synonym,,0.212,0.151,17,0.7,0.25,523.7857143,533.027027,0.1261447144,-0.1406614256,1,1,596,588.08,0.4443672234,0.6838304029,1,1,9.241312741,-0.26680614,0,-7.92,0.2394631795,0
air,FAN,LISTEN,3,35.14,3.25,10.53,14,6,3911,1955.5,NN|VB,608.29,-0.57,1,instrument,,0.236,0,17,0.31,0.08,535.9487179,543.4864865,-0.2809796945,-0.3190234327,1,1,492,485.6,-0.206974885,-0.4058734882,1,1,7.537768538,-0.0380437382,0,-6.4,-0.1988986032,0
airplane,FLYING,ESSAY,6,50.57,3.41,10.26,0,,12975,2595,VB|NN,619.93,-0.41,1,functional property,,0.434,0,14,0.78,-0.01,511.56,535.45,-0.09080781518,0.02633836291,1,1,544.7058824,518.8888889,-0.1683312916,-0.118197826,1,1,23.89,0.1171461781,0,-25.81699346,0.05013346562,0
alcohol,DRUNK,PEPPERONI,5,76.55,3.59,8.89,3,1,3202,800.5,JJ,595.79,-0.64,1,unclassified,,0.126,0.11,19,0.81,,524.25,563,-0.3829134155,0.1745014924,1,1,477.4761905,474.4545455,-0.3196361292,-0.03129998549,1,1,38.75,0.5574149079,0,-3.021645022,0.2883361437,0
alert,AWARENESS,REAPPEAR,9,2.25,2.06,8.96,0,,20548,2568.5,NN,589.38,-0.57,1,synonym,,0.223,0,17,0.24,0.08,507.2307692,487.95,-0.2565531597,-0.2514139051,1,1,513.75,516.5652174,-0.2137562381,-0.1355615734,0.96875,1,-19.28076923,0.005139254527,0,2.815217391,0.0781946647,-0.03125
alive,DEAD,CUSS,4,448.98,4.36,11.2,10,3,5467,1822.33,JJ|NN|RB,603.44,-0.41,1,antonym,,0.398,0.554,18,0.52,0.06,474.44,537.6,-0.4961375281,-0.01922695525,1,1,584.45,467,-0.3671632809,-0.3298467167,1,0.9705882353,63.16,0.4769105729,0,-117.45,0.03731656417,0.02941176471
all,MOST,AMAZE,4,350.76,4.25,13.11,10,0,5374,1791.33,RB|JJ,563.54,-0.7,1,unclassified,,0.295,0.02,12,0.69,0.16,495.6052632,478.1818182,-0.3168180846,-0.4598940348,1,0.9090909091,567.2058824,498.2692308,-0.2715005778,-0.3803582274,0.9411764706,1,-17.42344498,-0.1430759503,0.09090909091,-68.93665158,-0.1088576496,-0.05882352941
alligator,CROCODILE,LOST,9,2.25,2.06,6.26,0,,13321,1665.13,NN,662.11,-0.32,1,category,,0.629,0.46,14,0.48,0.08,560.4074074,598.5,0.1904766431,-0.1365001264,1,1,549.84,544.05,-0.000925001962,-0.1206840842,0.96,1,38.09259259,-0.3269767695,0,-5.79,-0.1197590823,-0.04
allow,DISALLOW,ARMY,8,0.02,0.3,6.49,0,,12208,1744,VB,831.9,0.26,0.77,antonym,,0.089,0.011,14,,0.1,510.5384615,542.5789474,-0.07777558847,-0.01639206314,1,1,472.1,494.3703704,-0.5621230729,-0.3300063511,1,1,32.04048583,0.06138352533,0,22.27037037,0.2321167218,0
alone,LONELY,MIDDLE,6,41.67,3.33,8.49,1,1,11628,2325.6,JJ|RB,569.19,-0.72,1,synonym,,0.219,0.215,17,0.6,0.2,550.6842105,518.3684211,0.08732065413,-0.3642051279,1,1,480.65,478.3030303,-0.4928021713,-0.348734905,1,1,-32.31578947,-0.451525782,0,-2.346969697,0.1440672664,0
alright,OKAY,HOPELESS,4,2006.27,5.01,10.43,0,,766,255.33,JJ|minor|NN|VB,558.04,-0.78,1,synonym,,0.262,,13,0.07,0.03,540.0731707,541.8857143,-0.1847671363,-0.09297814216,0.9756097561,0.9428571429,486.8947368,541.45,-0.08897408537,0.1293817613,1,1,1.812543554,0.09178899418,0.03275261324,54.55526316,0.2183558466,0
aluminum,FOIL,JAIL,4,1.22,1.8,8.6,9,3,2372,790.67,NN|VB,609.57,-0.51,1,bpa,,0.314,0.164,12,0.55,0.03,526.3,635.4705882,-0.337109265,0.5438820768,1,0.8823529412,606.4,608.45,0.7167114972,0.46838988,0.95,0.95,109.1705882,0.8809913418,0.1176470588,2.05,-0.2483216172,0
always,FOREVER,POSITIVE,7,88.8,3.66,9.94,0,,16429,2738.17,RB|NN,633.11,-0.5,1,synonym,,0.27,0.378,14,0.48,0.08,533.5777778,535.4285714,-0.2089899295,-0.005741800646,1,1,487.2857143,503.1851852,-0.5107401018,-0.1085781786,1,1,1.850793651,0.2032481289,0,15.8994709,0.4021619232,0
am,BE,FREEWAY,2,5746.76,5.47,14.95,5,0,858,858,VB,626.84,-0.57,1,unclassifed,,0.099,,29,0.3,-0.01,585.2142857,543.9444444,0.1819130936,-0.02655853446,0.9523809524,1,552.1111111,591.2258065,0.1371038074,0.5700028644,1,0.9032258065,-41.26984127,-0.2084716281,-0.04761904762,39.11469534,0.4328990569,0.09677419355
ambulance,EMERGENCY,INTROVERT,9,54.43,3.44,9.5,1,0,15821,1977.63,NN,647.75,-0.52,1,script,,0.13,0.174,23,0.76,0,569.7647059,650.2063492,0.152741389,0.6729737518,1,0.9523809524,477.8846154,575.8888889,-0.106705065,0.3051148995,1,0.962962963,80.44164332,0.5202323628,0.04761904762,98.0042735,0.4118199644,0.03703703704
america,USA,TUBE,3,,,,,,,,,,,,synonym,,0.223,0.185,11,0.2,0.02,546.6428571,531.4827586,0.1319243044,-0.0495764461,0.9642857143,1,586.15,606.525,0.06218176166,0.2817583314,1,1,-15.16009852,-0.1815007505,-0.03571428571,20.375,0.2195765698,0
american,FLAG,COBBLER,4,17.49,2.95,9.64,9,1,3276,1092,NN|VB,611.15,-0.58,1,bpa,,0.269,0.2,12,0.3,0.14,612.0714286,606.7272727,0.1288406822,0.2997345051,1,0.9545454545,551.3823529,588.4545455,0.04125985987,0.6471588384,1,0.9545454545,-5.344155844,0.1708938229,0.04545454545,37.07219251,0.6058989785,0.04545454545
amount,QUANTITY,UNITED,8,1.86,1.98,9.24,1,0,15136,2162.29,NN,729.68,-0.01,0.93,synonym,,0.379,0.067,11,0.36,0.08,506.5,575.3076923,0.03499428194,0.08854241963,1,0.9615384615,515.8333333,523.6190476,-0.2441762095,-0.002457701777,1,1,68.80769231,0.05354813768,0.03846153846,7.785714286,0.2417185077,0
amuse,ENTERTAIN,MUG,9,6.14,2.5,7.84,0,,28085,3510.63,VB,704.11,-0.11,1,synonym,,0.275,0.15,20,0.52,0.2,625.3181818,591.6842105,0.4989477813,0.7502388523,0.9545454545,1,508.7857143,601.48,-0.01809286949,0.4722648982,1,1,-33.63397129,0.251291071,-0.04545454545,92.69428571,0.4903577677,0
angel,SAINT,HIKE,5,17.92,2.96,8.75,4,1,11568,2892,NN,607.81,-0.51,1,unclassified,,0.091,0.041,24,0.28,0,568.7777778,519.9375,0.0401131003,-0.1884259003,0.9259259259,1,506.4848485,485.1666667,-0.3841917745,-0.1148385125,1,0.9666666667,-48.84027778,-0.2285390006,-0.07407407407,-21.31818182,0.269353262,0.03333333333
anger,FURY,STANDARD,4,3.82,2.29,8.26,4,1,2397,799,NN,673.84,-0.16,0.93,synonym,,0.306,0,12,0.34,0.03,511.7878788,533.4615385,-0.3165586432,-0.1527102975,0.9696969697,1,487.6538462,785.3636364,-0.2374334439,0.89566405,0.9615384615,1,21.67365967,0.1638483457,-0.0303030303,297.7097902,1.133097494,-0.03846153846
angry,MAD,TIME,3,113.41,3.76,9.79,17,7,2731,1365.5,JJ|NN,563.86,-0.69,1,synonym,,0.393,0.52,11,0.34,0.35,482.6842105,509.03125,-0.636570383,-0.3809563857,1,1,501.4571429,536.8571429,-0.3242186031,-0.1652459786,1,0.9285714286,26.34703947,0.2556139973,0,35.4,0.1589726244,0.07142857143
animal,BEAST,THESAURUS,5,24.55,3.1,9.7,6,2,7690,1922.5,NN,624.33,-0.45,1,unclassifed,,0.4,0.011,15,0.35,0.08,508.2142857,610.375,-0.2781043777,0.1434762679,1,1,498.0967742,520.2413793,-0.2754012571,-0.09090739444,1,0.9655172414,102.1607143,0.4215806456,0,22.14460512,0.1844938627,0.03448275862
ankle,SPRAIN,SHOULDER,6,0.84,1.64,5,1,1,13097,2619.4,NN|VB,717.85,0.01,1,fpa,,0.601,0.049,8,0.62,0.62,529.6428571,505.5925926,-0.3525562249,-0.2627885122,1,1,496.1818182,464.8333333,-0.1765219368,-0.4455591893,1,1,-24.05026455,0.08976771272,0,-31.34848485,-0.2690372525,0
annoy,FRUSTRATE,DISAPPEAR,9,0.27,1.18,5.55,0,,19449,2431.13,VB,655.19,-0.41,0.96,category,,0.149,0,15,0.08,0.08,578,525.75,0.1337321602,0.03389610942,1,1,517.2142857,587.6315789,0.09722434008,0.0775954194,1,1,-52.25,-0.0998360508,0,70.41729323,-0.01962892068,0
annoying,IRRITATING,DROP,10,2.18,2.05,7.72,1,0,28102,3122.44,JJ|VB,649.28,-0.23,1,synonym,,0.257,0.086,16,0.16,0.1,507.5517241,563.9230769,-0.3776567242,-0.0732676402,1,1,526.1372549,560.7222222,-0.1149203469,0.2137054347,1,1,56.37135279,0.304389084,0,34.58496732,0.3286257816,0
annually,YEARLY,MOST,6,0.88,1.66,7.95,3,1,6789,1357.8,JJ|RB,647.41,-0.37,1,synonym,,0.485,,11,0.38,0.3,617.5454545,625.0909091,0.4329923648,0.4516205388,1,0.9545454545,535,530.6470588,-0.002915294404,0.1953425116,1,1,7.545454545,0.01862817394,0.04545454545,-4.352941176,0.198257806,0
answer,EXPLANATION,COMMUNIST,11,20.06,3.01,10.05,0,,24560,2456,NN,655.13,-0.25,0.96,synonym,,0.15,0,21,0.21,0.02,552.28,502.9,0.04675565599,-0.1133645201,1,1,505.7142857,499.1052632,-0.2306668063,-0.3466448728,1,1,-49.38,-0.160120176,0,-6.609022556,-0.1159780666,0
ant,ANTEATER,MOTIONLESS,8,0.22,1.08,4.26,0,,27449,3921.29,NN,922.14,0.67,0.92,functional property,,0.29,0.017,9,0.14,0.06,541.8484848,536.6666667,-0.001157486634,0.08639628986,0.9696969697,1,528.4,486.4814815,-0.0358210365,-0.2721105374,1,0.962962963,-5.181818182,0.0875537765,-0.0303030303,-41.91851852,-0.2362895009,0.03703703704
anxiety,STRESS,WASHCLOTH,6,15.61,2.9,9.41,0,,15855,3171,NN|VB,688.25,-0.07,1,synonym,,0.079,0.077,23,0.57,-0.01,499.6,619.7692308,-0.4086366103,0.9416901923,1,1,562.4090909,543.4166667,0.3764799639,-0.1981557495,1,1,120.1692308,1.350326803,0,-18.99242424,-0.5746357134,0
apart,TOGETHER,REEF,8,383.39,4.29,11.41,0,,13671,1953,RB|NN,629.89,-0.45,1,antonym,,0.259,0.406,19,0.57,0.14,566.6666667,593.8518519,-0.1735492496,0.4044769021,1,1,520.3157895,492.9032258,-0.02384428101,-0.1418988484,0.8947368421,1,27.18518519,0.5780261516,0,-27.41256367,-0.1180545674,-0.1052631579
apartment,RENT,COMPONENT,4,34.55,3.25,9.28,15,3,11376,3792,NN|VB,630.07,-0.5,1,script,,0.155,0.042,15,0.34,0.02,575.1764706,571.1470588,0.08338072212,0.13689425,0.9705882353,1,537.5,587.3333333,0.0575211312,0.6538173492,1,1,-4.029411765,0.0535135279,-0.02941176471,49.83333333,0.596296218,0
ape,MONKEY,GLARE,6,33.51,3.23,8.49,1,0,6990,1398,NN|VB,549.5,-0.78,1,category,,0.174,0.459,22,0.39,0.1,495.7058824,646.9615385,-0.3713956153,-0.02293374363,1,1,480.6785714,492,-0.4332269239,-0.3410634541,1,1,151.2556561,0.3484618717,0,11.32142857,0.09216346987,0
apology,SORRY,WITCH,5,1167.96,4.78,11.44,1,0,4748,1187,JJ|NN,608.5,-0.48,1,synonym,,0.212,0.578,17,0.29,0.13,522.8421053,522.6153846,0.007474402833,-0.130594259,0.9736842105,1,548.3214286,544.75,0.2916746479,0.2210125847,1,1,-0.2267206478,-0.1380686618,-0.02631578947,-3.571428571,-0.07066206321,0
appear,SEEM,JUGGLER,4,139.82,3.85,11.71,10,1,3912,1304,VB,702.32,-0.11,1,synonym,,0.244,0.083,15,0.58,0.11,534.9259259,584.8064516,0.0588483244,0.4069723955,1,1,524.1153846,492.5384615,-0.1455201272,-0.1392967839,1,1,49.88052569,0.3481240711,0,-31.57692308,0.00622334334,0
apple,PIE,ATTEND,3,28.75,3.17,8.5,10,6,2074,1037,NN,590.41,-0.6,1,bpa,,0.228,0.074,21,0.47,0.01,529.7894737,512.4090909,0.002348525037,-0.2771324603,1,0.9545454545,497.4634146,464.4090909,-0.3415034676,-0.4606231397,1,1,-17.38038278,-0.2794809853,0.04545454545,-33.05432373,-0.1191196721,0
april,MARCH,TUTU,5,24.02,3.09,11.22,3,0,6594,1648.5,NN|VB,574.52,-0.75,1,category,,0.223,,15,0.76,-0.01,577.6190476,606.2857143,0.07890616413,0.3289216507,1,1,511.96,537.1538462,-0.2594919492,-0.006261313202,1,1,28.66666667,0.2500154866,0,25.19384615,0.253230636,0
area,REGION,TENT,6,5.02,2.41,10.21,1,0,12668,2533.6,NN,671.83,-0.46,0.96,synonym,,0.512,0,10,0.62,0.04,496.5,558.96,-0.4382964661,0.1622346534,1,1,543.8148148,543.6315789,0.01105438549,-0.2546977506,1,0.9473684211,62.46,0.6005311195,0,-0.1832358674,-0.2657521361,0.05263157895
argue,DEBATE,TREASURE,6,9.29,2.68,10.2,2,0,12193,2438.6,NN|VB,638.31,-0.47,1,synonym,,0.473,0.034,9,0.46,0.02,517.4230769,531.6666667,-0.4312112775,-0.320241415,1,1,537.0740741,504.4418605,0.3246346491,-0.2218188429,1,1,14.24358974,0.1109698626,0,-32.63221361,-0.5464534919,0
argument,DISAGREEMENT,REFRESHING,12,1.53,1.9,8.04,0,,21902,1991.09,NN,750.67,-0.14,1,synonym,,0.444,0.034,8,0.39,0.13,539.6590909,522.7857143,0.1529894749,-0.2676054976,1,1,545.137931,472.9615385,-0.005623529836,-0.1413124646,1,1,-16.87337662,-0.4205949725,0,-72.17639257,-0.1356889347,0
arm,SHOULDER,SURROUNDING,8,26.2,3.13,9.34,1,0,14291,2041.57,NN|VB,660.46,-0.27,1,category,,0.335,0,21,0.7,0.15,469.0357143,490.8823529,-0.3553531775,-0.3574153968,0.9642857143,1,551.5,599.35,-0.01763217502,-0.1834745423,1,1,21.84663866,-0.002062219286,-0.03571428571,47.85,-0.1658423673,0
armor,KNIGHT,AHEAD,6,26.76,3.14,9.81,0,,3252,650.4,NN|VB,592.96,-0.53,1,script,,0.517,0.293,11,0.6,0.17,527.4571429,573.75,-0.1499702157,0.02394810672,0.9714285714,1,523.3846154,552.45,-0.2231893263,0.4309653375,1,1,46.29285714,0.1739183225,-0.02857142857,29.06538462,0.6541546639,0
arms,OCTOPUS,TRACTOR,7,1.94,2,6.8,0,,5769,961.5,NN,659.33,-0.45,1,perceptual property,,0.153,0,11,0.31,0.16,536.5909091,459.7619048,-0.1301189066,-0.6466213159,1,1,496.4444444,492.1428571,-0.1146195945,-0.2171489434,1,1,-76.82900433,-0.5165024094,0,-4.301587302,-0.1025293489,0
army,CORPORAL,CAUTION,8,15.73,2.9,6.66,0,,15498,2214,NN,719.29,-0.02,0.97,script,,0.27,0,16,0.31,0.07,543.1428571,499.3428571,-0.3105425202,-0.3318004218,1,1,496.65,500.1818182,-0.04641086794,-0.2430408755,1,1,-43.8,-0.02125790164,0,3.531818182,-0.1966300076,0
around,SURROUNDING,INFECTION,11,3.76,2.29,8.94,0,,22919,2291.9,VB|NN,735.78,-0.05,1,synonym,,0.16,0.042,17,0.3,0.07,525.4285714,527.6176471,-0.1691291546,-0.3053149282,1,1,556,494.2,-0.06634624833,-0.2699340347,1,1,2.18907563,-0.1361857736,0,-61.8,-0.2035877864,0
arrogant,COCKY,AGENDA,5,4.12,2.32,6.88,2,1,4157,1039.25,JJ,624.78,-0.39,0.96,synonym,,0.141,0.078,22,0.11,0.08,631.047619,589.5714286,0.07170400929,0.746691481,0.9523809524,0.9285714286,533.025641,591.2307692,0.01351121415,0.1030507977,0.9743589744,1,-41.47619048,0.6749874717,0.02380952381,58.20512821,0.08953958358,-0.02564102564
arrow,BOW,BEARD,3,20.27,3.01,8.92,18,8,1450,725,NN,631.58,-0.49,0.92,instrument,,0.4,0.53,12,0.56,0.24,500.8928571,585.952381,-0.09193890183,0.4881566716,0.9642857143,1,496.8709677,544.5172414,-0.2065766141,-0.01509912438,0.9677419355,1,85.05952381,0.5800955734,-0.03571428571,47.64627364,0.1914774897,-0.03225806452
art,SCULPTURE,MOB,9,3.12,2.2,6.88,0,,9650,1206.25,NN|VB,730.35,0.04,0.96,supraordinate,,0.31,0,20,0.85,0,493.4615385,488.72,-0.5868357158,-0.4022013205,1,1,465.7619048,480.1428571,-0.5081058392,-0.4260530992,1,1,-4.741538462,0.1846343952,0,14.38095238,0.08205273995,0
artist,CON,STAIN,3,12.63,2.81,10.68,16,2,7079,3539.5,NN|VB,619.37,-0.56,1,fpa,,0.25,0,15,0.22,0.16,537.4,524.1111111,-0.0007185689871,-0.3913594199,0.9714285714,1,422.4285714,542.9090909,-1.004794747,0.06896831761,1,1,-13.28888889,-0.3906408509,-0.02857142857,120.4805195,1.073763065,0
ashtray,ASH,BLEND,3,9.2,2.67,8.19,4,3,2747,1373.5,NN,601.64,-0.54,1,instrument,,0.255,0.11,12,0.13,0.04,559.0833333,585.15,0.2810414383,0.3836063451,1,0.95,602.6666667,565.3611111,0.3122080426,0.3276571546,0.9696969697,0.9444444444,26.06666667,0.1025649068,0.05,-37.30555556,0.015449112,0.02525252525
